NAME,GRADE,HEIGHT,BOLTS,AREA
Knob Creek,11a,50,8,Westside
Newton's Law,11a,45,7,Westside
Tiny Bubbles,12b,45,8,Westside
The Seamstress,10a,45,6,Westside
Adhesive Love,8,40,5,Westside
T-Slab,11a,40,7,Westside
Message to a Hairy Man Back,10a,40,6,Westside
Nova Monkey,11d,55,10,Westside
Sissy Made Training Academy,12b,60,8,Westside
Rightovers,9,75,10,Westside
The Tempest,10c,45,6,Westside
Level Up,10a,50,7,Westside
Mortal Combat,10a,45,6,Westside
Modern Warfare,8+,70,10,Westside
Grand Theft Auto,8,65,9,Westside
2UP,8,60,8,Westside
Metroid,8,60,8,Westside
Legend of Zelda,9+,60,8,Westside
Donkey Kong,8+,60,8,Westside
Out of Quarters,8,60,7,Westside
Duck Hunt,9,55,6,Westside
Rock Band,11a,55,7,Westside
Black Sabbath,11a,55,7,Westside
Victims of Survival Horror,10c,60,9,Westside
King Koopa,9+,60,8,Westside
Yoga Catastrophe,10a,40,6,Westside
Back Back B,10c,40,6,Westside
Evil Ryu,10c,40,6,Westside
Hadouken,12b,40,6,Westside
Ryu,10b,40,6,Westside
Blanka,8+,40,6,Westside
Sonic Boom,10a,40,5,Westside
The Van Damme,10b,40,6,Westside
The Van Damme Variation,9,40,6,Westside
I Took a Douken,8,40,6,Westside
The Big Sleep,12b,30,5,Westside
The Big Crock,12d,45,7,Westside
Crockostimpy,12d,40,6,Westside
Space Madness,12a,35,5,Westside
Mouth Trap,11a,35,7,Westside
Happy Happy Joy Joy,11b,35,6,Westside
Dr. Stupid,10a,40,6,Westside
Powdered Toast Man,12b,35,5,Westside
Rubber Nipple Salesman,12b,40,5,Westside
Clackerball,11b,20,3,Westside
Log,10c,30,5,Westside
Guilty by Association,9,35,4,Westside
Memory of Light,10a,35,6,Westside
So Black it's Purple,9+,30,5,Westside
Fatty Down,10a,30,4,Westside
The Prophet,14a,45,8,Westside
Paying the Tranny,13b,45,7,Westside
Granny Tranny,11c,55,8,Westside
Taliban Soup,11b,50,9,Westside
Egyptian Airbus,12c,50,10,Westside
Dirka Dirka,11c,50,9,Westside
False Prophet,10d,50,9,Westside
Learning to Fly,10c,50,8,Westside
Jihad,10d,40,6,Westside
Ramblin' Man,8,30,5,Westside
Squirrel Deck,8+,30,4,Westside
The Lookout,9+,30,4,Westside
Portside,10d,35,6,Westside
Ship of Fools,10a,40,5,Westside
Cradle of the Deep,12d,30,5,Westside
Cradle of the Deep Original Variation,13a,30,5,Westside
TNC Forever,10b,20,3,Westside
Tyler's B-Day,10c,20,4,Westside
Cracked Rib,10c,20,4,Westside
Sea Shanty,7,35,6,Westside
The Megalodon,9,30,4,Westside
Barnacles,10a,30,4,Westside
Skid Mark,10b,30,4,Westside
Poop Deck,6,30,4,Westside
Little Dingy,5,30,4,Westside
Fuzzy Buckets,9,30,4,Westside
New Doomsday,9-,40,5,Westside
Z-Day,8,40,5,Westside
Itchy and Scratchy,9+,50,6,Westside
The Giant Poison Ivy Monster From Planet Scratch My Butt,8,50,6,Westside
I Heart Tsunamis,8,40,5,Westside
The Apophis Crater,10b,35,5,Westside
